Der Erwachsene,a grownup,Das Kind nicht is Der Erwachsene.,1522622339.265689,3
Die Übersetzung,translation,Hier ist eine gute Übersetzung.,1522622894.5006037,3
Eiserne,iron,Eiserne Vorhang,1522429017.4278824,3
Manche,some,Manche Menschen glauben*^* daß ich gut bin.,1522622304.3663027,2
Stadt,city,--,1522429299.851113,4
Vorhang,curtain,Eiserne Vorhang,1522429009.504701,3
Weltall,the universe,Die Astronomen haben zwei vershiedene Vorstellungen von dem Ursprung des Weltalls.,1522622356.3818915,1
Wie heißt...?,What is the name of...?,Wie heißt der größte deutsche Politiker?,1522622295.476776,2
als,as,Wenn wir Deutschland als ein land verstehen wollen...,1522429365.5807486,4
am,an dem (contraction),Ich bin am 21 September geboren.,1522623054.3924928,3
arm,poor,Der Künstler war arm.,1522623125.3135614,1
bis zum,until the...,Bis zum Jahre 1918...,1522429172.1251473,3
brauchen,to need,Ich brauchte etwas zu sagen.,1522623152.9737222,1
dadurch,by this means,Dadurch vernichten wir die Grenzen.,1522622365.5580933,1
damals,at that time,Barth und Tillich spielten schon damals eine große Rolle in der...,1522622630.4080133,2
darüber,about that,Ich hatte eine Theorie darüber.,1522623144.5111442,1
das Gebot,the commandment,Schweitzer verkörpert das Gebot: ...,1522622472.4289708,2
das Kind,the child,Das Kind ist jung.,1522429429.7791243,4
das Mißtrauen,distrust*^* suspicion,Grenzen sind ein Symbol des gegenseitigen Mißtrauens.,1522622405.4837253,2
der Bereich,sphere,"Der Bereich" ist ein Buch schreibte von Michael Crichton.,1522622981.1222017,3
der Formel,formula,der Formel ist sehr lang.,1522622705.0270455,2
der Haß,hate*^* hatred,der Haß nicht is gut.,1522622331.3622682,2
der Monat,the month,Sie ist schon seit zwei Monaten in Deutschland.,1522623167.2081666,1
der Schnee,snow,Im Sommer bedeckt der Schnee noch die Alpen.,1522622659.661959,4
der Wand,wall,die Landkarte hängt noch an der Wand,1522622388.0330093,4
dick,fat,Ich wurde dick.,1522622576.2390535,1
die Achtung,respect,Wir genießen das Vertrauen und die Achtung.,1522428947.1020715,3
die Bewegung,a movement,Der Expressionismus ist eine literarische Bewegung.,1522622883.782669,2
die Beziehung,relation,Österreichs Beziehungen zu den ost- und südeuropäischen Ländern...,1522429145.1826606,3
die Stimme,the voice,Meine stimme ist sehr schöne.,1522622505.1112049,3
die Uhr,watch,Schweizer Uhren kennt heute jeder.,1522622481.36915,4
die Vergessenheit,oblivion (being forgotten),Sind Armut und Vergessenheit das Los vieler Künstler?,1522623048.638235,1
die Währung,currency,Das dollar ist eine Währung.,1522429212.196232,3
doch,surely,Jeder kennt doch Schweizer Schokolade.,1522429051.7766502,3
dünn,thin,Sie wird nicht dick*^* sondern dünn.,1522622316.908149,1
einstige,former,Ich war einstig schön.,1522429401.226819,3
erleben,to experience,Die Schweiz erlebt keinen Krieg.,1522429405.306107,3
fast,almost,Ich bin fast ein Mann.,1522429426.325431,4
gegen,against,Es waren eigentlich viele*^* die gegen Hitler waren.,1522622687.811163,1
gegenseitig,mutual*^* reciprocal,Grenzen sind ein Symbol des gegenseitigen Mißtrauens.,1522622538.1032727,2
gehören,to belong,Beethoven gehörte zu dem 19. Jahrhundert.,1522623062.4608488,2
gern,willingly,Manchmal erennere ich mich an Kaiser*^* aber nicht gern.,1522622194.6925337,2
gestern,yesterday,Warst du gestern in Boston?,1522622821.8350089,1
glauben,to believe,Ich glaube daß ich gut bin.,1522622433.1924286,2
im,in dem (contraction),Hitler ist im Jahre 1945 gestorben.,1522622220.1091154,3
immer,always,Arbeiteten wir immer schwer.,1522622142.1248977,2
leisten,to achieve,Er keine leistet.,1522622828.5987718,3
lieben,to love,Du sollst deinen Nächsten lieben wie dich selbst.,1522622901.7563083,2
läuften,to run,Er läuft schnell.,1522622454.3169122,4
manchmal,sometimes,Ich gehe manchmal.,1522622323.7395897,2
mehrfach,repeatedly,Er kommt mehrfach.,1522429432.4361837,4
meinen,to mean,Welche Dichter meinen Sie?,1522622869.217019,2
nie,never,Ich habe Ungarn nie besucht.,1522622435.539442,4
noch,still,Wir wollen noch Frankreich besuchen.,1522622468.0583317,4
nur,only,Gibt es nur ein mann.,1522429301.913838,4
rein,pure,Die deutsche Kultur gibt uns auch ein Beispiel der reinen Humanität.,1522622203.845807,3
schließlich,finally,Er ist hier*^* schließlich.,1522622650.878401,1
schon,already,Er schon ist hier.,1522429125.5859864,4
schwer,difficult or heavy,Ist schwer zu verstehen das Geschichte.,1522429216.2905354,4
seit wann,how long,Seit wann ist der Arzt hier?,1522622598.8113935,1
sich verbreiten,to spread,Der haß sollte nich sich weiter verbreiten.,1522622944.1698842,2
sollten,ought,Vielleicht sollten wir etwas über die Schweiz sagen.,1522429467.7243552,3
sondern,but (in the sense of "rather"),... müssen wir nicht nur Geschichte lernen sondern auch...,1522428984.7958832,4
sowie,as well as,Sie ist schwer sowie groß.,1522623138.4061098,1
stammen aus,to come from,Albert Schweitzer stammt aus dem Elsaß.,1522623057.091889,3
trennen,to separate,Die Grenzen trennen uns Menschen zu oft.,1522622132.738146,2
unterhalten,to entertain,Märchen unterhalten alle.,1522622654.7577915,3
unwiderruflich,irrevocably,Einstein hat unsere Vorstellung des Universums unwiderruflich geändert.,1522622956.0065217,3
verheerend,devestating,Der Krieg ist verheerend.,1522622151.0898645,3
verkörperen,to embody,Schweitzer verkörpert das Gebot: ...,1522622611.5737796,2
verscheiden,different,Er ist sehr verscheiden.,1522428937.6943216,4
vertrauen,to trust,Die Welt vertraut diesem kleinen Land.,1522429370.3469522,3
viele,many,Es gibt viele männer.,1522429465.7707207,4
von + dative,about,Wir sprechen von den Dichtern und Wissenschaftlern.,1522622921.6144545,3
was für,what,Freud und Jung zeigen uns*^* was für unglaublich primitive Instinkte in uns schlummern.,1522622801.4836583,2
was für ein,what kind of a...,Was für eine Macht haben die Ideen von Marx und Engels über die heutige Welt?,1522622430.661202,2
wenig,little,Das Kind ist wenig.,1522622888.4052114,2
wenn,when or if,Wenn wir die landkarte wieder anschauen...,1522429386.6930666,4
wertfolle,valuable,wertfolle Gelt,1522429641.8880491,3
wichtig,important,Ich bin nicht wichtig.,1522622171.4924996,2
wieder,again,Wieder gibt es Krieg.,1522429644.9196277,4
wirklich,really,Gibt es wirklich neutrale Länder?,1522622684.4101486,2
worauf,on what?,Worauf gründete er seine Theorie?,1522623174.6236484,1
zeigen,to point out,Was zeigen uns Jung und Freud heute?,1522623132.3760438,1
zugleich,at the same time,Ich bin jung*^* zugliech alt.,1522623180.8769255,1
